keywords,answer_en,answer_ta,answer_hi,answer_ka,answer_ma,answer_te
"tomato planting season,when to plant tomato,best time to sow tomato",Plant tomatoes at the start of the warm season: in spring for temperate regions and just after the last frost. Use seedlings and transplant when they have 4–6 true leaves; maintain warm days (25–30°C) for best growth.,"தக்காளி விதைப்பதை வெப்ப பருவ தொடக்கத்தில் செய்யுங்கள்: மிதமான பகுதிகளில் வसந்தத்தில், கடைசி பனியிலிருந்து பிறகு விதைக்க வேண்டும். 4–6 உண்மையான இலைகள் இருக்கும் போது மாற்று நட்டு; 25–30°C பகல் வெப்பநிலையை பராமரிக்கவும்.",टमाटर की बुवाई गर्म मौसम की शुरुआत में करें: समशीतोष्ण क्षेत्रों में वसंत में और अंतिम ठंढ के बाद रोपण करें। 4–6 असली पत्तियों वाले पौधों को प्रत्यारोपित करें; दिन का तापमान 25–30°C रखें।,ಬೆಚ್ಚಗಿನ ಋತುವಿನ ಆರಂಭದಲ್ಲಿ ಟೊಮೆಟೊಗಳನ್ನು ನೆಡಿ: ಸಮಶೀತೋಷ್ಣ ಪ್ರದೇಶಗಳಿಗೆ ವಸಂತಕಾಲದಲ್ಲಿ ಮತ್ತು ಕೊನೆಯ ಹಿಮದ ನಂತರ. ಸಸಿಗಳನ್ನು ಬಳಸಿ ಮತ್ತು ಅವು 4–6 ನಿಜವಾದ ಎಲೆಗಳನ್ನು ಹೊಂದಿರುವಾಗ ಕಸಿ ಮಾಡಿ; ಉತ್ತಮ ಬೆಳವಣಿಗೆಗೆ ಬೆಚ್ಚಗಿನ ದಿನಗಳನ್ನು (25–30°C) ಕಾಪಾಡಿಕೊಳ್ಳಿ.,"ചൂടുള്ള സീസണിന്റെ തുടക്കത്തിൽ തക്കാളി നടുക: മിതശീതോഷ്ണ പ്രദേശങ്ങളിൽ വസന്തകാലത്തും അവസാന തണുപ്പിന് തൊട്ടുപിന്നാലെയും. തൈകൾ ഉപയോഗിക്കുക, 4–6 യഥാർത്ഥ ഇലകൾ ഉണ്ടാകുമ്പോൾ നടുക; മികച്ച വളർച്ചയ്ക്കായി ചൂടുള്ള ദിവസങ്ങൾ (25–30°C) നിലനിർത്തുക.",వెచ్చని సీజన్ ప్రారంభంలో టమోటాలు నాటండి: సమశీతోష్ణ ప్రాంతాలలో వసంతకాలంలో మరియు చివరి మంచు తర్వాత వెంటనే నాటండి. మొలకలని వాడండి మరియు వాటికి 4–6 నిజమైన ఆకులు ఉన్నప్పుడు నాటండి; ఉత్తమ పెరుగుదల కోసం వెచ్చని రోజులను (25–30°C) నిర్వహించండి.
"tomato weather,best weather for tomato,tomato climate","Tomatoes prefer warm, sunny days (25–30°C) and cool nights (18–20°C). Avoid frost and prolonged heavy rains which can cause blossom drop and disease.",தக்காளிக்கு 25–30°C பகல் வெப்பநிலை மற்றும் 18–20°C இரவு வெப்பநிலை பிடிக்கும். பனி மற்றும் நீண்ட மழையை தவிர்க்கவும்; இது மலர்ச்சி சிதைந்தல் மற்றும் நோய்களை உண்டாக்கும்.,टमाटर को 25–30°C दिन और 18–20°C रात के तापमान पसंद हैं। ओलावृष्टि और लगातार भारी बारिश से बचें।,"ಟೊಮೆಟೊಗಳು ಬೆಚ್ಚಗಿನ, ಬಿಸಿಲಿನ ದಿನಗಳನ್ನು (25–30°C) ಮತ್ತು ತಂಪಾದ ರಾತ್ರಿಗಳನ್ನು (18–20°C) ಬಯಸುತ್ತವೆ. ಹೂವು ಉದುರುವಿಕೆ ಮತ್ತು ರೋಗಕ್ಕೆ ಕಾರಣವಾಗುವ ಹಿಮ ಮತ್ತು ದೀರ್ಘಕಾಲದ ಭಾರೀ ಮಳೆಯನ್ನು ತಪ್ಪಿಸಿ.",തക്കാളിക്ക് ചൂടുള്ളതും വെയിലുള്ളതുമായ പകലുകളും (25–30°C) തണുത്ത രാത്രികളും (18–20°C) ഇഷ്ടമാണ്. പൂക്കൾ കൊഴിഞ്ഞുപോകുന്നതിനും രോഗത്തിനും കാരണമാകുന്ന മഞ്ഞുവീഴ്ചയും നീണ്ടുനിൽക്കുന്ന കനത്ത മഴയും ഒഴിവാക്കുക.,"టమోటాలు వెచ్చని, ఎండ రోజులు (25–30°C) మరియు చల్లని రాత్రులు (18–20°C) ఇష్టపడతాయి. పువ్వులు రాలిపోవడానికి మరియు వ్యాధులకు కారణమయ్యే మంచు మరియు దీర్ఘకాలిక భారీ వర్షాలను నివారించండి."
"tomato irrigation,how to irrigate tomato,water for tomato",Irrigate tomatoes regularly to keep soil evenly moist; avoid waterlogging. Use drip irrigation for water efficiency and water at the base to reduce foliar diseases.,தக்காளிக்கு மண் சமமாக மூடராமல் நீர்ப்பாசனம் செய்யுங்கள்; நீர் நிறைவாக இருக்கவேண்டாம். நீர் திறமைக்காக டிரிப் பாசனம் பயன்படுத்து; இலை நோய்களை குறைக்க அடிப்படையில் நீர் கொடுங்கள்.,टमाटर को नियमित रूप से सींचें ताकि मिट्टी समान रूप से नम रहे; जलभराव न होने दें। ड्रिप सिंचाई उपयोगी है और पत्तियों पर पानी न डालें।,ಮಣ್ಣನ್ನು ಸಮವಾಗಿ ತೇವವಾಗಿಡಲು ಟೊಮೆಟೊಗಳಿಗೆ ನಿಯಮಿತವಾಗಿ ನೀರು ಹಾಕಿ; ನೀರು ನಿಲ್ಲುವುದನ್ನು ತಪ್ಪಿಸಿ. ನೀರಿನ ದಕ್ಷತೆಗಾಗಿ ಹನಿ ನೀರಾವರಿ ಮತ್ತು ಎಲೆಗಳ ರೋಗಗಳನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಬುಡದಲ್ಲಿ ನೀರನ್ನು ಬಳಸಿ.,മണ്ണ് തുല്യമായി ഈർപ്പമുള്ളതായി നിലനിർത്താൻ തക്കാളി പതിവായി നനയ്ക്കുക; വെള്ളം കെട്ടിനിൽക്കുന്നത് ഒഴിവാക്കുക. ജല കാര്യക്ഷമതയ്ക്കായി തുള്ളി ജലസേചനവും ഇലകളിലെ രോഗങ്ങൾ കുറയ്ക്കാൻ ചുവട്ടിൽ വെള്ളവും ഉപയോഗിക്കുക.,నేల సమానంగా తేమగా ఉండటానికి టమోటాలకు క్రమం తప్పకుండా నీరు పెట్టండి; నీరు నిలిచిపోకుండా ఉండండి. నీటి సామర్థ్యం కోసం బిందు సేద్యం మరియు ఆకుల వ్యాధులను తగ్గించడానికి బేస్ వద్ద నీటిని ఉపయోగించండి.
"tomato fertilizer,fertilizer for tomato,tomato nutrients","Apply balanced fertilizer based on soil test. A typical schedule is N-P-K split applications, avoiding excess nitrogen near harvest; organic compost improves fruit quality.",மண் சோதனை அடிப்படையில் சமநிலை உரம் பயன்படுத்தவும். பொதுவாக N-P-K பிரிக்கப்பட்ட முறை பயன்படுத்த வேண்டும்; அறுவடைக்கு அருகில் அதிக நைட்ரஜனைத் தவிர்க்கவும்; கம்போஸ்ட் பழத்தின் தரத்தை மேம்படுத்தும்.,मिट्टी परीक्षण के आधार पर संतुलित उर्वरक दें। सामान्यतः N-P-K को विभाजित मात्रा में दें; कटाई के पास अधिक नाइट्रोजन से बचें; जैविक खाद फल की गुणवत्ता बढ़ाती है।,"ಮಣ್ಣಿನ ಪರೀಕ್ಷೆಯ ಆಧಾರದ ಮೇಲೆ ಸಮತೋಲಿತ ಗೊಬ್ಬರವನ್ನು ಅನ್ವಯಿಸಿ. ವಿಶಿಷ್ಟ ವೇಳಾಪಟ್ಟಿಯೆಂದರೆ N-P-K ವಿಭಜಿತ ಅನ್ವಯಿಕೆಗಳು, ಕೊಯ್ಲಿನ ಬಳಿ ಹೆಚ್ಚುವರಿ ಸಾರಜನಕವನ್ನು ತಪ್ಪಿಸುವುದು; ಸಾವಯವ ಗೊಬ್ಬರವು ಹಣ್ಣಿನ ಗುಣಮಟ್ಟವನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.","മണ്ണ് പരിശോധനയെ അടിസ്ഥാനമാക്കി സമീകൃത വളം പ്രയോഗിക്കുക. വിളവെടുപ്പിനടുത്ത് അധിക നൈട്രജൻ ഒഴിവാക്കിക്കൊണ്ട്, N-P-K വിഭജിച്ച് പ്രയോഗിക്കുന്നതാണ് ഒരു സാധാരണ ഷെഡ്യൂൾ; ജൈവ കമ്പോസ്റ്റ് പഴങ്ങളുടെ ഗുണനിലവാരം മെച്ചപ്പെടുത്തുന്നു.","నేల పరీక్ష ఆధారంగా సమతుల్య ఎరువులు వేయండి. ఒక సాధారణ షెడ్యూల్ N-P-K స్ప్లిట్ అప్లికేషన్లు, పంట దగ్గర అదనపు నత్రజనిని నివారించడం; సేంద్రీయ కంపోస్ట్ పండ్ల నాణ్యతను మెరుగుపరుస్తుంది."
"tomato pests,tomato diseases,tomato pest management","Common pests: fruit borer, whitefly and leaf miner. Use integrated pest management: monitor, use pheromone traps, neem oil, and release beneficial insects. Remove severely infested plants.","பொதுவான பூச்சிகள்: பழச்சிவப்பு, வெள்ளை ஈ, இலை சுருங்கல். ஒருங்கிணைந்த பூச்சி மேலாண்மை (IPM) பின்பற்றுங்கள்: கண்காணிப்பு, பெரோமோன் காப்புகள், நீம் எண்ணெய் மற்றும் பயனுள்ள பூச்சிகளை அறுவை விடுங்கள்.","आम कीट: फल छेदक, सफेद मक्खी, पत्ती खनन करने वाले। IPM अपनाएँ: मॉनिटरिंग, फेरोमोन ट्रैप, नीम तेल और उपयोगी कीट छोड़ें।","ಸಾಮಾನ್ಯ ಕೀಟಗಳು: ಹಣ್ಣು ಕೊರೆಯುವ ಹುಳು, ಬಿಳಿ ನೊಣ ಮತ್ತು ಎಲೆ ಕೊರೆಯುವ ಹುಳು. ಸಮಗ್ರ ಕೀಟ ನಿರ್ವಹಣೆಯನ್ನು ಬಳಸಿ: ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಿ, ಫೆರೋಮೋನ್ ಬಲೆಗಳು, ಬೇವಿನ ಎಣ್ಣೆಯನ್ನು ಬಳಸಿ ಮತ್ತು ಪ್ರಯೋಜನಕಾರಿ ಕೀಟಗಳನ್ನು ಬಿಡುಗಡೆ ಮಾಡಿ. ತೀವ್ರವಾಗಿ ಬಾಧೆಗೊಳಗಾದ ಸಸ್ಯಗಳನ್ನು ತೆಗೆದುಹಾಕಿ.","സാധാരണ കീടങ്ങൾ: പഴതുരപ്പൻ, വെള്ളീച്ച, ഇലതുരപ്പൻ. സംയോജിത കീട നിയന്ത്രണം ഉപയോഗിക്കുക: നിരീക്ഷിക്കുക, ഫെറമോൺ കെണികൾ, വേപ്പെണ്ണ ഉപയോഗിക്കുക, ഗുണം ചെയ്യുന്ന പ്രാണികളെ വിടുക. ഗുരുതരമായി ബാധിച്ച സസ്യങ്ങൾ നീക്കം ചെയ്യുക.","సాధారణ తెగుళ్లు: పండ్ల తొలుచు పురుగు, తెల్లదోమ మరియు ఆకు మైనర్. ఇంటిగ్రేటెడ్ తెగులు నిర్వహణను ఉపయోగించండి: పర్యవేక్షించండి, ఫెరోమోన్ ఉచ్చులు, వేప నూనెను ఉపయోగించండి మరియు ప్రయోజనకరమైన కీటకాలను విడుదల చేయండి. తీవ్రంగా ప్రభావితమైన మొక్కలను తొలగించండి."
"brinjal planting,eggplant planting season,when to plant brinjal",Plant brinjal in warm seasons; seedlings transplant after 6–8 weeks. Keep spacing to allow airflow and reduce fungal issues.,வெஞ்ஞல் வெப்ப பருவங்களில் வளர்க்கவும்; 6–8 வாரங்கள் கழித்து மாற்று நட்டு. காற்றோட்டம் ஏற்பட இடைவெளி வைக்கவும்.,बैंगन गर्म मौसम में लगाएँ; 6–8 सप्ताह बाद प्रत्यारोपित करें। हवा का प्रवाह सुनिश्चित करने के लिए दूरी रखें।,ಬೆಚ್ಚಗಿನ ಋತುಗಳಲ್ಲಿ ಬದನೆಕಾಯಿಯನ್ನು ನೆಡಿ; 6-8 ವಾರಗಳ ನಂತರ ಸಸಿಗಳನ್ನು ಕಸಿ ಮಾಡಿ. ಗಾಳಿಯ ಹರಿವನ್ನು ಅನುಮತಿಸಲು ಮತ್ತು ಶಿಲೀಂಧ್ರ ಸಮಸ್ಯೆಗಳನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಅಂತರವನ್ನು ಇರಿಸಿ.,ചൂടുള്ള സീസണിൽ വഴുതന നടുക; 6–8 ആഴ്ചകൾക്ക് ശേഷം തൈകൾ പറിച്ചു നടുക. വായുസഞ്ചാരം അനുവദിക്കുന്നതിനും ഫംഗസ് പ്രശ്നങ്ങൾ കുറയ്ക്കുന്നതിനും അകലം പാലിക്കുക.,వెచ్చని సీజన్లలో వంకాయలను నాటండి; 6–8 వారాల తర్వాత మొలకలను నాటండి. గాలి ప్రసరించడానికి మరియు శిలీంధ్ర సమస్యలను తగ్గించడానికి అంతరం ఉంచండి.
"brinjal pests,eggplant pests,brinjal fruit borer","Brinjal fruit borer is serious: adopt pheromone traps, timely insecticide application as per extension advice, and remove infested fruits. Crop rotation helps long-term control.",வெஞ்ஞலில் பழச்சிவப்பு பிரச்சனை: பெரோமோன் காப்புகள் மற்றும் பரிந்துரைக் கூடிய நேரத்தில் பூச்சிக் கொல்லி பயன்படுத்து; பாதிக்கப்பட்ட பழங்களை அகற்று.,बैंगन में फल छेदक समस्या: फेरोमोन ट्रैप और समय पर कीटनाशक का उपयोग करें; संक्रमित फलों को हटाएँ।,"ಬದನೆಕಾಯಿಯಲ್ಲಿ ಹಣ್ಣು ಕೊರಕ ಕೀಟ ಗಂಭೀರವಾಗಿದೆ: ಫೆರೋಮೋನ್ ಬಲೆಗಳನ್ನು ಅಳವಡಿಸಿಕೊಳ್ಳಿ, ವಿಸ್ತರಣಾ ಸಲಹೆಯಂತೆ ಸಕಾಲಿಕ ಕೀಟನಾಶಕ ಸಿಂಪಡಣೆ ಮಾಡಿ ಮತ್ತು ಬಾಧೆಗೊಳಗಾದ ಹಣ್ಣುಗಳನ್ನು ತೆಗೆದುಹಾಕಿ. ಬೆಳೆ ಸರದಿ ದೀರ್ಘಕಾಲೀನ ನಿಯಂತ್ರಣಕ್ಕೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.","വഴുതന തുരപ്പൻ ഗുരുതരമാണ്: ഫെറോമോൺ കെണികൾ ഉപയോഗിക്കുക, വ്യാപന ഉപദേശപ്രകാരം സമയബന്ധിതമായി കീടനാശിനി പ്രയോഗിക്കുക, ബാധിച്ച പഴങ്ങൾ നീക്കം ചെയ്യുക. വിള ഭ്രമണം ദീർഘകാല നിയന്ത്രണത്തിന് സഹായിക്കുന്നു.","వంకాయలో కాయ తొలుచు పురుగు తీవ్రమైనది: ఫెరోమోన్ ఉచ్చులను వేసుకోవడం, పొడిగింపు సలహా ప్రకారం సకాలంలో పురుగుమందులను వాడటం మరియు తెగులు సోకిన పండ్లను తొలగించడం. పంట భ్రమణం దీర్ఘకాలిక నియంత్రణకు సహాయపడుతుంది."
"okra planting,ladies finger planting,when to plant okra",Okra grows well in warm weather; sow seeds in rows after the last frost and thin seedlings for proper spacing. Regular weeding and mulching improve yields.,வெப்பமான வானிலையில் வெந்நீலா சிறப்பாக வளரும்; கடைசி பனியிற்சியைத் தொடர்ந்து விதைகள் விதைக்கும் மற்றும் இடைவெளியை சரி செய்ய அகற்றவும்.,भिंडी गर्म मौसम में अच्छी होती है; अंतिम ठंढ के बाद बुवाई करें और उचित दूरी रखें।,ಬೆಚ್ಚಗಿನ ವಾತಾವರಣದಲ್ಲಿ ಬೆಂಡೆಕಾಯಿ ಚೆನ್ನಾಗಿ ಬೆಳೆಯುತ್ತದೆ; ಕೊನೆಯ ಹಿಮದ ನಂತರ ಸಾಲುಗಳಲ್ಲಿ ಬೀಜಗಳನ್ನು ಬಿತ್ತಬೇಕು ಮತ್ತು ಸರಿಯಾದ ಅಂತರಕ್ಕಾಗಿ ತೆಳುವಾದ ಮೊಳಕೆಗಳನ್ನು ಬಿತ್ತಬೇಕು. ನಿಯಮಿತವಾಗಿ ಕಳೆ ಕಿತ್ತಲು ಮತ್ತು ಹಸಿಗೊಬ್ಬರ ಹಾಕುವುದರಿಂದ ಇಳುವರಿ ಸುಧಾರಿಸುತ್ತದೆ.,ചൂടുള്ള കാലാവസ്ഥയിൽ വെണ്ടക്ക നന്നായി വളരും; അവസാനത്തെ മഞ്ഞുവീഴ്ചയ്ക്ക് ശേഷം വരിവരിയായി വിത്ത് വിതയ്ക്കുകയും ശരിയായ അകലം പാലിക്കാൻ തൈകൾ നേർത്തതാക്കുകയും ചെയ്യുക. പതിവായി കളനിയന്ത്രണവും പുതയിടലും വിളവ് മെച്ചപ്പെടുത്തും.,వెచ్చని వాతావరణంలో బెండకాయ బాగా పెరుగుతుంది; చివరి మంచు తర్వాత వరుసలలో విత్తనాలను విత్తండి మరియు సరైన అంతరం కోసం మొలకలను సన్నగా ఉంచండి. క్రమం తప్పకుండా కలుపు తీయడం మరియు కప్పడం వల్ల దిగుబడి మెరుగుపడుతుంది.
"okra pests,okra disease,lady finger pests",Common problems: aphids and fruit borers. Use neem spray and maintain good field hygiene. Intercropping with maize can reduce pest pressure.,பொதுவான பிரச்சனைகள்: அஃபிட்ஸ் மற்றும் பழச்சிவப்பு. நீம் தெளிப்பு மற்றும் நன்கு பராமரிப்பு செய்யவும்.,आम की समस्याएँ: एफिड्स और फल छेदक। नीम का छिड़काव करें और खेत की सफाई रखें।,ಸಾಮಾನ್ಯ ಸಮಸ್ಯೆಗಳು: ಗಿಡಹೇನುಗಳು ಮತ್ತು ಹಣ್ಣು ಕೊರೆಯುವ ಕೀಟಗಳು. ಬೇವಿನ ಸಿಂಪಡಣೆಯನ್ನು ಬಳಸಿ ಮತ್ತು ಉತ್ತಮ ಹೊಲ ನೈರ್ಮಲ್ಯವನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಿ. ಮೆಕ್ಕೆಜೋಳದೊಂದಿಗೆ ಅಂತರ ಬೆಳೆ ಮಾಡುವುದರಿಂದ ಕೀಟಗಳ ಒತ್ತಡವನ್ನು ಕಡಿಮೆ ಮಾಡಬಹುದು.,"സാധാരണ പ്രശ്നങ്ങൾ: മുഞ്ഞ, കായ്തുരപ്പൻ. വേപ്പ് സ്പ്രേ ഉപയോഗിക്കുക, കൃഷിയിടത്തിൽ ശുചിത്വം പാലിക്കുക. ചോളവുമായി ഇടവിളയായി കൃഷി ചെയ്യുന്നത് കീടങ്ങളുടെ സമ്മർദ്ദം കുറയ്ക്കും.",సాధారణ సమస్యలు: పేను బంక మరియు పండ్ల తొలుచు పురుగులు. వేప పిచికారీని వాడండి మరియు పొలంలో మంచి పరిశుభ్రతను పాటించండి. మొక్కజొన్నతో అంతర పంట వేయడం వల్ల తెగులు ఒత్తిడి తగ్గుతుంది.
"potato planting,when to plant potato,potato sowing time","Plant potatoes in cool seasons with well-drained loamy soils. Use certified seed tubers, plant at correct depth, and hill soil around stems after emergence.",குளிர் பருவத்தில் சிறந்த வடிகால் கொண்ட லோமி மண்ணில் உருளைக்கிழங்கு நடுத்தலை செய்யுங்கள். சான்றுத் தகுதியான விதைகளை பயன்படுத்தவும்.,आलू ठंडे मौसम में अच्छी पैदावार देता है; प्रमाणित बीज कंदों का उपयोग करें और सही गहराई पर लगाएँ।,"ತಂಪಾದ ಋತುಗಳಲ್ಲಿ ಚೆನ್ನಾಗಿ ನೀರು ಬಸಿದು ಹೋಗುವ ಲೋಮಿ ಮಣ್ಣಿನಲ್ಲಿ ಆಲೂಗಡ್ಡೆಯನ್ನು ನೆಡಿ. ಪ್ರಮಾಣೀಕೃತ ಬೀಜ ಗೆಡ್ಡೆಗಳನ್ನು ಬಳಸಿ, ಸರಿಯಾದ ಆಳದಲ್ಲಿ ನೆಡಬೇಕು ಮತ್ತು ಕಾಂಡಗಳು ಹೊರಹೊಮ್ಮಿದ ನಂತರ ಬೆಟ್ಟದ ಮಣ್ಣನ್ನು ಬಳಸಿ.","തണുത്ത സീസണുകളിൽ നല്ല നീർവാർച്ചയുള്ള പശിമരാശി മണ്ണിൽ ഉരുളക്കിഴങ്ങ് നടുക. സാക്ഷ്യപ്പെടുത്തിയ വിത്ത് കിഴങ്ങുകൾ ഉപയോഗിക്കുക, ശരിയായ ആഴത്തിൽ നടുക, തണ്ടുകൾ ഉയർന്നുവന്നതിനുശേഷം കുന്നിൻ മണ്ണ് നടുക.","చల్లని సీజన్లలో బాగా నీరు కారిన లోమీ నేలలతో బంగాళాదుంపలను నాటండి. ధృవీకరించబడిన విత్తన దుంపలను ఉపయోగించండి, సరైన లోతులో నాటండి మరియు మొలకెత్తిన తర్వాత కాండం చుట్టూ కొండ మట్టిని నాటండి."
